timestamp,stock,best_bid,best_ask,bid_size,ask_size,mid_price,signal,future_return_1s,future_return_3s,future_return_5s
2024-01-01 10:27:11,AMZN,223.61,223.68,100.0,600.0,223.645,-4.919237691780598e-05,0.0,0.0,0.0
2024-01-01 10:27:12,AMZN,223.61,223.68,100.0,600.0,223.645,-3.7619006279521194e-05,0.0,0.0,0.0
2024-01-01 10:27:13,AMZN,223.61,223.68,100.0,600.0,223.645,-3.7619006279521194e-05,0.0,0.0,-2.2356860202659903e-05
2024-01-01 10:27:14,AMZN,223.61,223.68,100.0,600.0,223.645,7.037818579347377e-05,0.0,0.0,-2.2356860202659903e-05
2024-01-01 10:27:15,AMZN,223.61,223.68,100.0,600.0,223.645,-1.064736619308763e-05,0.0,-2.2356860202659903e-05,-2.2356860202659903e-05
2024-01-01 10:27:16,AMZN,223.61,223.68,100.0,600.0,223.645,3.809724088902714e-06,0.0,-2.2356860202659903e-05,-1.270840368906258e-16
2024-01-01 10:27:17,AMZN,223.61,223.68,100.0,600.0,223.645,0.00010510309574011482,-2.2356860202659903e-05,-2.2356860202659903e-05,-2.2356860202659903e-05
2024-01-01 10:27:18,AMZN,223.61,223.67,100.0,100.0,223.64,0.00012745995594280285,0.0,2.2357360042905798e-05,0.0
2024-01-01 10:27:19,AMZN,223.61,223.67,100.0,100.0,223.64,1.946276386980787e-05,0.0,0.0,0.0
2024-01-01 10:27:20,AMZN,223.61,223.67,100.0,100.0,223.64,0.00010051646210980832,2.2357360042905798e-05,0.0,0.0
2024-01-01 10:27:21,AMZN,223.62,223.67,100.0,100.0,223.64499999999998,0.00022340280558537837,-2.235686020253282e-05,-2.235686020253282e-05,1.270840368906258e-16
2024-01-01 10:27:22,AMZN,223.61,223.67,100.0,100.0,223.64,0.00014443462373803229,0.0,0.0,2.2357360043032887e-05
2024-01-01 10:27:23,AMZN,223.61,223.67,100.0,100.0,223.64,0.00012207776353534427,0.0,2.2357360043032887e-05,0.00020121624038640636
2024-01-01 10:27:24,AMZN,223.61,223.67,100.0,100.0,223.64,1.788939095774082e-05,0.0,2.2357360043032887e-05,0.00029064568055815667
2024-01-01 10:27:25,AMZN,223.61,223.67,100.0,100.0,223.64,6.70894557860402e-05,2.2357360043032887e-05,0.00020121624038640636,0.00029064568055815667
2024-01-01 10:27:26,AMZN,223.61,223.68,100.0,500.0,223.645,-4.920006482855843e-05,0.0,0.000268282322430648,0.000268282322430648
2024-01-01 10:27:27,AMZN,223.61,223.68,100.0,550.0,223.645,-7.15574248714157e-05,0.00017885488162038964,0.000268282322430648,0.000268282322430648
2024-01-01 10:27:28,AMZN,223.61,223.76,125.0,10.0,223.685,-0.0002504163052147179,8.941144913610762e-05,8.941144913610762e-05,8.941144913610762e-05
2024-01-01 10:27:29,AMZN,223.61,223.8,106.0,348.0,223.705,-0.0002790655751792788,0.0,0.0,0.0
2024-01-01 10:27:30,AMZN,223.61,223.8,125.0,48.0,223.705,-0.00032827546713942723,0.0,0.0,0.0
2024-01-01 10:27:31,AMZN,223.61,223.8,25.0,48.0,223.705,-0.00031170055287725135,0.0,0.0,0.0
2024-01-01 10:27:32,AMZN,223.61,223.8,25.0,48.0,223.705,-0.0002595986763413993,0.0,0.0,-6.705259158273073e-05
2024-01-01 10:27:33,AMZN,223.61,223.8,25.0,48.0,223.705,-8.072780304679839e-05,0.0,0.0,0.00015645604702620232
2024-01-01 10:27:34,AMZN,223.61,223.8,25.0,48.0,223.705,5.210866393379199e-05,0.0,-6.705259158273073e-05,6.705259158260369e-05
2024-01-01 10:27:35,AMZN,223.61,223.8,25.0,48.0,223.705,-5.585354929156979e-05,0.0,0.00015645604702620232,6.705259158260369e-05
2024-01-01 10:27:36,AMZN,223.61,223.8,25.0,48.0,223.705,-5.585354929156979e-05,-6.705259158273073e-05,6.705259158260369e-05,6.705259158260369e-05
2024-01-01 10:27:37,AMZN,223.6,223.78,41.0,19.0,223.69,-8.432672103305303e-05,0.0002235236264473663,0.00013411417586839438,0.0003352854396709224
2024-01-01 10:27:38,AMZN,223.67,223.81,100.0,213.0,223.74,-0.0002644182602515495,-8.93894699204891e-05,-8.93894699204891e-05,0.00017877893984085116
2024-01-01 10:27:39,AMZN,223.67,223.77,100.0,100.0,223.72,-0.00017501480480804538,0.0,0.00020114428750217904,0.0002681923833363234
2024-01-01 10:27:40,AMZN,223.67,223.77,100.0,100.0,223.72,-6.705259158268362e-05,0.0,0.0002681923833363234,0.00031289111389233494
2024-01-01 10:27:41,AMZN,223.67,223.77,100.0,100.0,223.72,-0.00010178627109499092,0.00020114428750217904,0.0002681923833363234,0.00029054174861432917
2024-01-01 10:27:42,AMZN,223.67,223.86,100.0,219.0,223.765,-0.0003266008886188369,6.703461220483444e-05,0.0001117243536746394,-6.703461220470743e-05
2024-01-01 10:27:43,AMZN,223.69,223.87,19.0,16.0,223.78,-0.00021351261935316965,0.0,2.2343372955561053e-05,-0.00013406023773349332
2024-01-01 10:27:44,AMZN,223.69,223.87,19.0,16.0,223.78,-0.00030292606284861484,4.4686745911122106e-05,-0.00013406023773349332,8.937349182237123e-05
2024-01-01 10:27:45,AMZN,223.7,223.88,19.0,100.0,223.79,-0.0004556219854776611,-2.2342374547546597e-05,-0.00017873899638049976,1.2700169547524021e-16
2024-01-01 10:27:46,AMZN,223.72,223.85,100.0,100.0,223.785,-0.0003811702910998897,-0.00015640011618292822,6.702862122132752e-05,2.2342873740527176e-05
2024-01-01 10:27:47,AMZN,223.72,223.78,100.0,300.0,223.75,-2.3593930280877792e-05,0.0,0.00017877094972076186,0.00017877094972076186
2024-01-01 10:27:48,AMZN,223.72,223.78,100.0,300.0,223.75,4.343169524797148e-05,0.0002234636871508888,0.00017877094972076186,0.00017877094972076186
2024-01-01 10:27:49,AMZN,223.72,223.88,100.0,119.0,223.8,-0.00018000203430793932,-4.4682752457510746e-05,-4.4682752457510746e-05,-8.936550491514848e-05
2024-01-01 10:27:50,AMZN,223.72,223.86,100.0,100.0,223.79000000000002,1.736864958723494e-05,0.0,0.0,-4.468474909522019e-05
2024-01-01 10:27:51,AMZN,223.72,223.86,100.0,100.0,223.79000000000002,-2.2342873740477387e-05,0.0,-4.468474909522019e-05,-4.468474909522019e-05
2024-01-01 10:27:52,AMZN,223.72,223.86,100.0,100.0,223.79000000000002,-0.00017877094972074126,0.0,-4.468474909522019e-05,-4.468474909522019e-05
2024-01-01 10:27:53,AMZN,223.72,223.86,100.0,100.0,223.79000000000002,-0.0003707472423337318,-4.468474909522019e-05,-4.468474909522019e-05,-4.468474909522019e-05
