stock,minute,sample,algo_buy_time,algo_sell_time,algo_buy_price,algo_sell_price,pred_buy_regret,pred_sell_regret,buy_vwof,sell_vwof,buy_micro_momentum,sell_micro_momentum,buy_spread,sell_spread,buy_threshold,sell_threshold,buy_trigger,sell_trigger
AAPL,1900-01-01 11:05:00,train,1900-01-01 11:05:59.965,1900-01-01 11:05:27.122,586.83,586.99,0.06734296018380366,0.0649716659456853,0.0,0.0028671551449497078,-0.05076927590141622,-0.02090909472030944,0.12000000000000455,0.029999999999972715,0.06240029201567243,0.07695127503711265,fallback_last,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:06:00,train,1900-01-01 11:06:52.240,1900-01-01 11:06:24.034,586.3,586.6,0.061254030950757224,0.06670365398320048,-0.15427624767029316,-0.2501895375283358,-0.004705899595705887,0.03681812848356003,0.07999999999992724,0.07999999999992724,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:07:00,train,1900-01-01 11:07:53.347,1900-01-01 11:07:35.091,586.75,586.39,0.06222865403860249,0.0761044048119541,-0.04018811457887127,-0.03912059489167827,0.012901230946340547,-0.058811886994021734,0.11000000000001364,0.12000000000000455,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:08:00,train,1900-01-01 11:08:59.937,1900-01-01 11:08:35.003,586.28,586.4,0.07186559621953902,0.05337136597417584,-0.047535596933176875,0.010746910263296414,-0.003388628370544211,-0.06060607837639509,0.12999999999999545,0.12999999999999545,0.06240029201567243,0.07695127503711265,fallback_last,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:09:00,train,1900-01-01 11:09:59.989,1900-01-01 11:09:30.231,586.02,585.85,0.14950760937468302,0.06913809120094455,-0.004333418302318549,-0.14117369785525777,0.07792207411716845,-0.012253523877120642,0.25,0.029999999999972715,0.06240029201567243,0.07695127503711265,fallback_last,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:10:00,train,1900-01-01 11:10:56.662,1900-01-01 11:10:35.899,586.21,586.1,0.05447663606023781,0.0363304686888362,0.09160958904107627,0.03533906399235237,0.02488929673017992,-0.00044776410948088596,0.030000000000086402,0.009999999999990905,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:11:00,train,1900-01-01 11:11:46.159,1900-01-01 11:11:32.389,586.26,586.1,0.05787605186280466,0.038217963185616044,0.16483516483513247,-0.1541072640868452,0.022173911768959442,-0.04136366300554073,0.05999999999994543,0.11000000000001364,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:12:00,train,1900-01-01 11:12:56.579,1900-01-01 11:12:24.354,586.0,586.06,0.047315353826764814,0.0731424698521257,0.47939017504207826,0.19105833042260023,0.13538461216387532,0.03272726739862719,0.09000000000003183,0.08000000000004093,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:13:00,train,1900-01-01 11:13:41.202,1900-01-01 11:13:20.377,585.61,585.75,0.056166454093736065,0.07224429808293685,-0.05437352245861277,-0.33538777606565606,-0.035034140648917855,0.003837208621234822,0.009999999999990905,0.009999999999990905,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:14:00,train,1900-01-01 11:14:59.720,1900-01-01 11:14:40.450,585.63,585.5,0.06593205835050073,0.07253084468140085,-0.019344650611914985,0.006006006006003752,0.06371286548869648,0.011999980482073624,0.12999999999999545,0.09000000000003183,0.06240029201567243,0.07695127503711265,fallback_last,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:15:00,train,1900-01-01 11:15:58.384,1900-01-01 11:15:36.648,585.78,585.7,0.05014507311745388,0.07481701952423007,-0.058920477956312535,0.08911798396332436,-0.006255926946664658,0.0283333313809635,0.13999999999998636,0.07999999999992724,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:16:00,train,1900-01-01 11:16:41.871,1900-01-01 11:16:40.269,585.99,585.85,0.06221230740102934,0.07572050176502503,0.21424332344207292,0.08063219930348764,-0.05337438471747191,-0.05881188698867845,0.11000000000001364,0.12000000000000455,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:17:00,train,1900-01-01 11:17:49.995,1900-01-01 11:17:40.257,586.17,585.99,0.06237624348236749,0.07021613479449743,0.4082680356659259,-0.11570576540750867,0.03230768779906157,-0.0003731372440824998,0.12000000000000455,0.12999999999999545,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:18:00,train,1900-01-01 11:18:47.036,1900-01-01 11:18:46.823,586.3,586.2,0.053200026781829876,0.07682427756920811,-0.0014927398561539566,-0.07225981055479401,-0.030988594270297654,-0.05000000097686552,0.05999999999994543,0.09999999999990905,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:19:00,train,1900-01-01 11:19:56.265,1900-01-01 11:19:39.933,586.38,586.29,0.060384659479553515,0.06899815639719649,0.06506724827333149,0.056680161943305496,-0.020652186657912353,-0.02572815676285245,0.16999999999995907,0.10000000000002274,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:20:00,train,1900-01-01 11:20:53.885,1900-01-01 11:20:14.749,586.11,586.09,0.06050557848165247,0.07526666712232465,0.12558535547035948,-0.2893869479234379,-0.061551729189318394,-2.9307329896255396e-09,0.16999999999995907,0.029999999999972715,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:21:00,train,1900-01-01 11:21:50.601,1900-01-01 11:21:20.766,585.96,585.89,0.06212227723828101,0.04445351550618136,0.13902932254799316,-0.1391872956562029,0.07690475632341531,-0.019702234704368493,0.09000000000003183,0.03999999999996362,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
AAPL,1900-01-01 11:22:00,train,1900-01-01 11:22:57.076,1900-01-01 11:22:49.151,586.0,585.83,0.06057433910968159,0.057564403399470804,0.022162525184680266,-0.08495981630305112,-0.015000073240685197,0.05357142392097103,0.12000000000000455,0.14999999999997726,0.06240029201567243,0.07695127503711265,ridge_signal_passed_vwof_filter,ridge_signal_passed_vwof_filter
